Source,Target,Weight
Chess,epicenter_en1,1444
Chess,AdmiralBahroo,392
Chess,Quin69,477
Chess,Castro_1021,348
Chess,Tfue,592
Chess,Jinnytty,793
Chess,Tubbo,332
Chess,NoWay4u_Sir,443
Chess,ROSHTEIN,364
Chess,tommyinnit,410
Chess,ludwig,3583
Chess,Papaplatte,323
Chess,TinaKitten,441
Chess,benjyfishy,377
Chess,DrLupo,455
Chess,itsHafu,1465
Chess,CohhCarnage,1536
Chess,HasanAbi,1523
Chess,5uppp,893
Chess,RocketLeague,972
Chess,EsfandTV,696
Chess,BLASTPremier,2446
Chess,Asmongold,1390
Chess,chesscomfr,827
Chess,ibai,374
Chess,moistcr1tikal,1159
Chess,Gaules,365
Chess,RATIRL,391
Chess,LIRIK,1646
Chess,sodapoppin,3288
Chess,GothamChess,9520
Chess,Hiko,584
Chess,thegameawards,1185
Chess,MitchJones,783
Chess,Gosu,343
Chess,Froggen,367
Chess,Maya,434
Chess,QTCinderella,363
Chess,Atrioc,323
Chess,pokelawls,608
Chess,chessbrah,1090
Chess,zackrawrr,337
Chess,ClintStevens,593
Chess,Northernlion,535
Chess,midbeast,318
Chess,limit_maximum,427
Chess,Sardoche,462
Chess,Rekkles,1176
Chess,Faker,557
Chess,Anna_Chess,659
Chess,OGADotaPIT,388
Chess,dakotaz,544
Chess,lilypichu,413
Chess,GMBenjaminFinegold,421
Chess,melina,336
Chess,g2perkz,1245
Chess,dogdog,828
Chess,Ninja,755
Chess,metagame,520
Chess,PrimeVideo,406
Chess,fuslie,366
Chess,sneakylol,375
Chess,DreamHackCS,320
Chess,nl_Kripp,517
Chess,GingiTV,328
Chess,NymN,513
Chess,TimTheTatman,729
Chess,TSM_ImperialHal,303
Chess,AriaSaki,374
Chess,Trainwreckstv,1530
Chess,Mizkif,2496
Chess,Destiny,382
Chess,RduLIVE,569
Chess,Nmplol,1593
Chess,TFBlade,432
Chess,summit1g,1184
Chess,WARDELL,520
Chess,loltyler1,1698
Chess,Symfuhny,362
Chess,xQcOW,6737
Chess,IslandGrown,336
Chess,Gorgc,587
Chess,Greekgodx,664
Chess,jacksepticeye,339
Chess,GMNaroditsky,2569
Chess,39daph,629
Chess,Sco,356
Chess,mang0,507
Chess,pokimane,1314
Chess,twitchgaming,316
Chess,GMHikaru,20318
Chess,Thijs,643
Chess,AdmiralBulldog,556
Chess,BotezLive,1480
Chess,HealthyGamer_GG,326
Chess,NICKMERCS,594
Chess,MOONMOON,647
Chess,k3soju,566
Chess,akaNemsko,537
Chess,Kitboga,431
Chess,Doublelift,856
Chess,shroud,3231
Chess,Sykkuno,1383
Chess,dunkstream,596
Chess,QuarterJade,316
Chess,Jankos,1257
Chess,xChocoBars,468
Chess,Yogscast,400
winstrike_tv,epicenter_en1,1090
winstrike_tv,epic_sh4doweh,9168
winstrike_tv,StRoGo,21255
winstrike_tv,EASPORTSFIFA,409
winstrike_tv,benjyfishy,563
winstrike_tv,JesusAVGN,2641
winstrike_tv,RocketLeague,627
winstrike_tv,HoneyMad,5884
winstrike_tv,BLASTPremier,25240
winstrike_tv,modestal,5345
winstrike_tv,Asmongold,306
winstrike_tv,bratishkinoff,11225
winstrike_tv,Gaules,514
winstrike_tv,LIRIK,321
winstrike_tv,sodapoppin,390
winstrike_tv,Dota2RuHub,33459
winstrike_tv,koreshzy,1174
winstrike_tv,Dota2ruhub3,943
winstrike_tv,Evelone192,61139
winstrike_tv,csgomc_ru,15334
winstrike_tv,CSRuHub,6974
winstrike_tv,elwycco,1594
winstrike_tv,des0ut,6912
winstrike_tv,AhriNyan,21950
winstrike_tv,tarik,349
winstrike_tv,BeyondTheSummit,1195
winstrike_tv,TEBtv3,537
winstrike_tv,ybicanoooobov,3051
winstrike_tv,pokanoname,19348
winstrike_tv,by_Owl,2047
winstrike_tv,OGADotaPIT,688
winstrike_tv,VERNI_SHAVERMY,912
winstrike_tv,Stray228,5674
winstrike_tv,GAECHKATM,778
winstrike_tv,PCH3LK1N,4237
winstrike_tv,iLame,2773
winstrike_tv,Ninja,620
winstrike_tv,archangel_hs,1096
winstrike_tv,JojoHF,628
winstrike_tv,ALOHADANCETV,925
winstrike_tv,melharucos,1965
winstrike_tv,buster,50478
winstrike_tv,dinablin,4188
winstrike_tv,karavay46,4955
winstrike_tv,DreamHackCS,1131
winstrike_tv,UCCleague,627
winstrike_tv,Lobanjicaa,1375
winstrike_tv,dangerlyoha,2530
winstrike_tv,Dmitry_Lixxx,10863
winstrike_tv,Daxak,1574
winstrike_tv,9pasha,814
winstrike_tv,SilverName,3881
winstrike_tv,TEBtv,1447
winstrike_tv,MerlinChess,516
winstrike_tv,just_ns,1461
winstrike_tv,RduLIVE,570
winstrike_tv,ZLOYn,13523
winstrike_tv,WELOVEGAMES,1757
winstrike_tv,Dosia_csgo,2715
winstrike_tv,summit1g,443
winstrike_tv,loltyler1,317
winstrike_tv,xQcOW,875
winstrike_tv,Dota2ruhub2,8561
winstrike_tv,Recrent,3854
winstrike_tv,C_a_k_e,2032
winstrike_tv,ZakvielChannel,1005
winstrike_tv,KarmikKoala,1683
winstrike_tv,Thijs,360
winstrike_tv,rxnexus,477
winstrike_tv,Wotclue,329
winstrike_tv,DreadzTV,553
winstrike_tv,1mpala,1266
winstrike_tv,GENSYXA,8452
winstrike_tv,BlackUFA,754
winstrike_tv,olyashaa,485
winstrike_tv,Exileshow,4963
winstrike_tv,QUICKHUNTIK,3216
winstrike_tv,VooDooSh,1474
winstrike_tv,mokrivskyi,18423
winstrike_tv,shroud,2375
winstrike_tv,Mapke,1308
winstrike_tv,GN_GG,830
winstrike_tv,XANTAREScN,1167
winstrike_tv,icebergdoto,1321
winstrike_tv,mihalina_,664
winstrike_tv,KYXNYA,3806
winstrike_tv,tv_padre,408
W2S,SypherPK,413
W2S,Clix,615
W2S,EASPORTSFIFA,2078
W2S,Castro_1021,7124
W2S,Tfue,752
W2S,Tubbo,873
W2S,StableRonaldo_,790
W2S,tommyinnit,1552
W2S,ludwig,553
W2S,GeorgeNotFound,326
W2S,benjyfishy,775
W2S,itsHafu,464
W2S,5uppp,444
W2S,RocketLeague,502
W2S,BLASTPremier,562
W2S,sodapoppin,395
W2S,NickEh30,306
W2S,TaliaMar,411
W2S,TrueGeordie,785
W2S,bateson87,1522
W2S,zwebackhd,431
W2S,dakotaz,426
W2S,Ninja,660
W2S,Zerkaa,742
W2S,TimTheTatman,722
W2S,Trainwreckstv,558
W2S,Mizkif,381
W2S,loltyler1,332
W2S,Symfuhny,630
W2S,xQcOW,1358
W2S,Syndicate,481
W2S,Fresh,339
W2S,jacksepticeye,342
W2S,x2Twins,314
W2S,pokimane,906
W2S,miniminter,4760
W2S,Nick28T,769
W2S,AdinRoss,403
W2S,NICKMERCS,916
W2S,Pieface23,1160
W2S,shroud,741
W2S,runthefutmarket,601
W2S,Sykkuno,855
W2S,scump,353
epicenter_en1,epic_sh4doweh,1344
epicenter_en1,AdmiralBahroo,764
epicenter_en1,Quin69,1303
epicenter_en1,Castro_1021,508
epicenter_en1,Tfue,446
epicenter_en1,Jinnytty,991
epicenter_en1,ROSHTEIN,900
epicenter_en1,ludwig,1516
epicenter_en1,TinaKitten,456
epicenter_en1,DrLupo,510
epicenter_en1,T90Official,376
epicenter_en1,itsHafu,1099
epicenter_en1,CohhCarnage,3722
epicenter_en1,HasanAbi,1151
epicenter_en1,5uppp,645
epicenter_en1,RocketLeague,754
epicenter_en1,EsfandTV,841
epicenter_en1,HoneyMad,349
epicenter_en1,BLASTPremier,13364
epicenter_en1,TeamLiquid,352
epicenter_en1,Asmongold,2863
epicenter_en1,ArMzi,505
epicenter_en1,ibai,427
epicenter_en1,moistcr1tikal,860
epicenter_en1,Gaules,1201
epicenter_en1,LIRIK,2621
epicenter_en1,sodapoppin,3598
epicenter_en1,Dota2RuHub,5729
epicenter_en1,GothamChess,1011
epicenter_en1,Hiko,805
epicenter_en1,cdewx,379
epicenter_en1,thegameawards,1959
epicenter_en1,MitchJones,1179
epicenter_en1,Maximilian_DOOD,653
epicenter_en1,HusKerrs,401
epicenter_en1,ShivFPS,333
epicenter_en1,CSRuHub,332
