Source,Target,Weight
FolagorLives,ibai,2863
FolagorLives,IamCristinini,613
FolagorLives,AgenteMaxo,307
FolagorLives,IlloJuan,370
FolagorLives,MarkiLokurasY,323
FolagorLives,auronplay,1176
FolagorLives,Rubius,2700
FolagorLives,TheGrefg,1384
FolagorLives,Vicens,332
FolagorLives,Perxitaa,590
FolagorLives,Conterstine,306
FolagorLives,ElmiilloR,632
FolagorLives,ReventXz,371
FolagorLives,alexelcapo,520
FolagorLives,ElRichMC,806
SNEUX,ibai,714
SNEUX,goncho,849
SNEUX,coscu,1962
SNEUX,k1ng,707
SNEUX,MarkiLokurasY,301
SNEUX,Rubius,391
SNEUX,TheGrefg,1035
SNEUX,Brunenger,692
SNEUX,Chigua,370
SNEUX,Gaston,2798
SNEUX,Rustyk,481
miniminter,5uppp,392
miniminter,TimTheTatman,491
miniminter,shroud,318
miniminter,W2S,1938
miniminter,Tubbo,649
miniminter,itsHafu,545
miniminter,Castro_1021,3535
miniminter,Symfuhny,381
miniminter,jacksepticeye,350
miniminter,Trainwreckstv,391
miniminter,Syndicate,349
miniminter,tommyinnit,774
miniminter,pokimane,692
miniminter,Nick28T,522
miniminter,Sykkuno,489
miniminter,Clix,359
miniminter,Ninja,438
miniminter,dakotaz,459
miniminter,TaliaMar,1164
miniminter,bateson87,796
miniminter,xQcOW,464
miniminter,StableRonaldo_,302
miniminter,NICKMERCS,617
miniminter,Pieface23,408
Dota2RuHub,LIRIK,470
Dota2RuHub,BLASTPremier,4024
Dota2RuHub,sodapoppin,471
Dota2RuHub,limit_maximum,356
Dota2RuHub,shroud,1597
Dota2RuHub,ybicanoooobov,6924
Dota2RuHub,CohhCarnage,359
Dota2RuHub,epicenter_en1,4109
Dota2RuHub,WELOVEGAMES,2847
Dota2RuHub,Stray228,10015
Dota2RuHub,winstrike_tv,22247
Dota2RuHub,bratishkinoff,1509
Dota2RuHub,Asmongold,510
Dota2RuHub,Exileshow,598
Dota2RuHub,AdmiralBulldog,656
Dota2RuHub,AhriNyan,2236
Dota2RuHub,olyashaa,467
Dota2RuHub,epic_sh4doweh,11528
Dota2RuHub,9pasha,3163
Dota2RuHub,CSRuHub,1350
Dota2RuHub,epicenter_en2,340
Dota2RuHub,karavay46,566
Dota2RuHub,summit1g,428
Dota2RuHub,dogdog,442
Dota2RuHub,Dota2ruhub2,16346
Dota2RuHub,VooDooSh,2597
Dota2RuHub,csgomc_ru,1552
Dota2RuHub,masondota2,434
Dota2RuHub,Evelone192,6767
Dota2RuHub,JesusAVGN,485
Dota2RuHub,GENSYXA,578
Dota2RuHub,PCH3LK1N,533
Dota2RuHub,ZLOYn,1476
Dota2RuHub,BlackUFA,990
Dota2RuHub,Gorgc,824
Dota2RuHub,Recrent,2551
Dota2RuHub,BeyondTheSummit,1424
Dota2RuHub,MerlinChess,930
Dota2RuHub,HoneyMad,3292
Dota2RuHub,RduLIVE,792
Dota2RuHub,KarmikKoala,3023
Dota2RuHub,StRoGo,1644
Dota2RuHub,GN_GG,1670
Dota2RuHub,buster,6447
Dota2RuHub,melharucos,1408
Dota2RuHub,icebergdoto,3589
Dota2RuHub,modestal,1061
Dota2RuHub,TEBtv,1009
Dota2RuHub,TEBtv3,506
Dota2RuHub,Ninja,340
Dota2RuHub,pokanoname,1563
Dota2RuHub,OGADotaPIT,1912
Dota2RuHub,ALOHADANCETV,1220
Dota2RuHub,xQcOW,484
Dota2RuHub,iLame,1926
Dota2RuHub,C_a_k_e,2888
Dota2RuHub,Daxak,3304
Dota2RuHub,mokrivskyi,1982
Dota2RuHub,Thijs,610
Dota2RuHub,Dota2ruhub3,3244
Dota2RuHub,just_ns,4060
Dota2RuHub,UCCleague,398
Dota2RuHub,SilverName,4553
Dota2RuHub,BeBePtv,567
Dota2RuHub,AsmodaiTV,301
Dota2RuHub,nl_Kripp,530
Dota2RuHub,dinablin,1147
Dota2RuHub,Dmitry_Lixxx,1092
Dota2RuHub,GunnarDotA2,517
Dota2RuHub,rxnexus,896
Dota2RuHub,elwycco,1326
Dota2RuHub,Dosia_csgo,489
Agraelus,BLASTPremier,301
Agraelus,sodapoppin,376
Agraelus,shroud,342
Agraelus,Asmongold,347
Agraelus,resttpowered,1070
Agraelus,CzechCloud,2609
Agraelus,Rekkles,345
Agraelus,xQcOW,515
fps_shaka,shroud,834
fps_shaka,Faker,435
fps_shaka,summit1g,334
fps_shaka,ShivFPS,568
fps_shaka,yamatonjp,3177
fps_shaka,TSM_ImperialHal,1315
fps_shaka,stylishnoob4,17505
fps_shaka,Rogue,348
