Source,Target,Weight
pulgaboy,k1ng,896
pulgaboy,blxckoutz,3184
pulgaboy,alanzoka,1189
pulgaboy,Gaules,877
pulgaboy,thegameawards,362
pulgaboy,Patriota,446
pulgaboy,DavyJones,305
DreamHackCS,Castro_1021,483
DreamHackCS,KendineMuzisyen,370
DreamHackCS,pokimane,530
DreamHackCS,epicenter_en1,1701
DreamHackCS,xQcOW,1382
DreamHackCS,loltyler1,720
DreamHackCS,EsfandTV,362
DreamHackCS,CohhCarnage,504
DreamHackCS,LIRIK,685
DreamHackCS,Dota2RuHub,781
DreamHackCS,Ninja,701
DreamHackCS,csgomc_ru,581
DreamHackCS,sodapoppin,1159
DreamHackCS,alanzoka,342
DreamHackCS,Mizkif,444
DreamHackCS,ROSHTEIN,530
DreamHackCS,shroud,2207
DreamHackCS,Symfuhny,452
DreamHackCS,RocketLeague,556
DreamHackCS,ludwig,379
DreamHackCS,Jinnytty,326
DreamHackCS,Gaules,1676
DreamHackCS,summit1g,1259
DreamHackCS,thegameawards,420
DreamHackCS,TEBtv3,717
DreamHackCS,DrLupo,424
DreamHackCS,ONSCREEN,323
DreamHackCS,Thijs,393
DreamHackCS,Jankos,396
DreamHackCS,gafallen,366
DreamHackCS,dogdog,351
DreamHackCS,g2perkz,508
DreamHackCS,Asmongold,463
DreamHackCS,BLASTPremier,13343
DreamHackCS,OGADotaPIT,954
DreamHackCS,lestream,301
DreamHackCS,DreamHackCS2,1611
DreamHackCS,Hiko,379
DreamHackCS,Nmplol,415
DreamHackCS,Rekkles,483
DreamHackCS,EdenEsports,497
DreamHackCS,GMHikaru,489
DreamHackCS,Evelone192,409
DreamHackCS,Amouranth,305
DreamHackCS,NICKMERCS,377
DreamHackCS,TimTheTatman,376
DreamHackCS,XANTAREScN,422
DreamHackCS,ZLOYn,305
DreamHackCS,TEBtv,2360
DreamHackCS,Loserfruit,302
DreamHackCS,1PVCS,385
DreamHackCS,x2Twins,303
DreamHackCS,buster,368
DreamHackCS,Tiagovski555YT,318
DreamHackCS,Trainwreckstv,726
DreamHackCS,Papaplatte,319
DreamHackCS,deercheerup,325
DreamHackCS,Faker,409
DreamHackCS,Greekgodx,375
DreamHackCS,itsHafu,387
DreamHackCS,BeyondTheSummit,764
DreamHackCS,tarik,833
DreamHackCS,Quin69,403
DreamHackCS,winstrike_tv,983
DreamHackCS,Gosu,339
DreamHackCS,Ponce,301
DreamHackCS,RATIRL,308
DreamHackCS,Gorgc,437
DarioMocciaTwitch,ZanoXVII,1321
DarioMocciaTwitch,ChristianVieriOfficial,611
DarioMocciaTwitch,Tumblurr,1237
DarioMocciaTwitch,thegameawards,463
DarioMocciaTwitch,POW3Rtv,970
DarioMocciaTwitch,Cerbero_Podcast,4054
DarioMocciaTwitch,Everyeyeit,4997
DarioMocciaTwitch,melina,1026
DarioMocciaTwitch,ilMasseo,2945
DarioMocciaTwitch,AdrianFartade,463
DarioMocciaTwitch,Freneh,415
DarioMocciaTwitch,panetty,2184
DarioMocciaTwitch,Yotobi,1150
DarioMocciaTwitch,JustGaBBo,547
DarioMocciaTwitch,Sabaku_no_Sutoriimaa,1242
EWROON,pokimane,361
EWROON,xQcOW,433
EWROON,Ninja,395
EWROON,Japczan,2013
EWROON,shroud,313
EWROON,thegameawards,314
EWROON,Jankos,553
EWROON,IzakOOO,987
EWROON,xth0rek,11434
EWROON,PLKDAMIAN,404
EWROON,Jacob4TV,1901
EWROON,RockAlone,534
EWROON,Xayoo_,3027
EWROON,tommyinnit,340
EWROON,Mandzio,3703
EWROON,Diables,6262
EWROON,holak1337,479
MOONMOON,pokimane,938
MOONMOON,epicenter_en1,727
MOONMOON,xQcOW,7794
MOONMOON,loltyler1,2451
MOONMOON,HasanAbi,3823
MOONMOON,EsfandTV,2142
MOONMOON,CohhCarnage,4487
MOONMOON,LIRIK,5953
MOONMOON,Ninja,605
MOONMOON,pokelawls,2670
MOONMOON,zackrawrr,1611
MOONMOON,Yogscast,553
MOONMOON,sodapoppin,13296
MOONMOON,Sykkuno,719
MOONMOON,GothamChess,349
MOONMOON,5uppp,309
MOONMOON,Mizkif,4792
MOONMOON,shroud,4747
MOONMOON,RatedEpicz,363
MOONMOON,Kitboga,625
MOONMOON,RocketLeague,399
MOONMOON,ludwig,2836
MOONMOON,Jinnytty,1268
MOONMOON,Doublelift,391
MOONMOON,sneakylol,1006
MOONMOON,summit1g,3482
MOONMOON,Gladd,426
MOONMOON,UberHaxorNova,782
MOONMOON,singsing,498
MOONMOON,AdmiralBahroo,3529
MOONMOON,thegameawards,3054
MOONMOON,DansGaming,447
MOONMOON,willneff,721
MOONMOON,DrLupo,951
MOONMOON,richwcampbell,369
MOONMOON,Thijs,463
MOONMOON,Jankos,512
MOONMOON,dogdog,731
MOONMOON,g2perkz,465
MOONMOON,Asmongold,3482
