Source, Target, Weights
Ninja,Xposed,238
Ninja,yamatonjp,218
Ninja,loltyler1,1490
Ninja,Silky,112
Ninja,FaZeBlaze,301
Ninja,loustreams,233
Ninja,willneff,123
Ninja,summit1g,2262
Ninja,PENTA,104
Ninja,LVNDMARK,378
Ninja,Dota2RuHub,161
Ninja,roflgator,152
Ninja,DrLupo,5034
Ninja,AdinRoss,1155
Ninja,Gaules,347
Ninja,dasMEHDI,207
Ninja,Amouranth,435
Ninja,Beaulo,204
Ninja,shroud,2408
Ninja,MYM_ALKAPONE,114
Ninja,Fresh,1010
Ninja,EsfandTV,437
Ninja,BigEx,144
Ninja,supertf,148
Ninja,MOONMOON,298
Ninja,Ramee,259
Ninja,BruceDropEmOff,285
Ninja,dunkstream,230
Ninja,WARDELL,936
Ninja,stevewillsendit,230
Ninja,sneakylol,197
Ninja,Aydan,529
Ninja,goncho,122
Ninja,xChocoBars,198
Ninja,Flight23white,551
Ninja,xQcOW,5988
Ninja,harbleu,154
Ninja,ANGRYPUG,150
Ninja,Chica,719
Ninja,Destiny,226
Ninja,RatedEpicz,242
Ninja,Mizkif,1252
Ninja,daltoosh,398
Ninja,TenZ,1104
Ninja,Cizzorz,387
Ninja,chocoTaco,352
Ninja,Captainflowers22,117
Ninja,Replays,715
Ninja,nl_Kripp,205
Ninja,boxbox,246
Ninja,Pikabooirl,158
Ninja,Natsumiii,119
Ninja,Swagg,671
Ninja,zackrawrr,295
Ninja,Crayator,102
Ninja,sinatraa,145
Ninja,AhriNyan,147
Ninja,Locklear,113
Ninja,ops1x,843
Ninja,BadBoyHalo,158
Ninja,TSM_ImperialHal,566
Ninja,epicenter_en1,297
Ninja,Tfue,1686
Ninja,ImDilla,182
Ninja,Vicens,434
Ninja,Thijs,271
Ninja,ibai,892
Ninja,Jahrein,141
Ninja,dogdog,246
Ninja,EWROON,127
Ninja,keanelol,109
Ninja,Tommey,113
Ninja,Kurumx,114
Ninja,Nmplol,825
Ninja,Sykkuno,1631
Ninja,Jinnytty,428
Ninja,Gotaga,489
Ninja,CallMeCarsonLIVE,101
Ninja,UnknownxArmy,647
Ninja,pokelawls,325
Ninja,Swelyy,108
Ninja,Warframe,105
Ninja,Rubius,1131
Ninja,scump,1006
Ninja,Quin69,340
Ninja,ONSCREEN,341
Ninja,Heelmike,343
Ninja,Kyle,190
Ninja,g2perkz,290
Ninja,Eray,203
Ninja,EmadGG,837
Ninja,bronny,259
Ninja,BastiGHG,212
Ninja,TheGrefg,844
Ninja,itsRyanHiga,154
Ninja,fps_shaka,183
Ninja,Zombie_Barricades,159
Ninja,kyo1984123,126
Ninja,midbeast,136
Ninja,peterparkTV,235
Ninja,auronplay,595
Ninja,CohhCarnage,426
Ninja,Greekgodx,474
Ninja,POW3Rtv,375
Ninja,TimTheTatman,4051
Ninja,scoped,1298
Ninja,5uppp,280
Ninja,Symfuhny,1891
Ninja,GernaderJake,103
Ninja,Nadeshot,1623
Ninja,Doublelift,390
Ninja,ELoTRiX,193
Ninja,tommyinnit,940
Ninja,SypherPK,5991
Ninja,notmes,107
Ninja,Trainwreckstv,2007
Ninja,Anthony_Kongphan,137
Ninja,MarkiLokurasY,358
Ninja,DeuceAce,226
Ninja,Shaunz,192
Ninja,gafallen,164
Ninja,GD_booya,160
Ninja,FolagorLives,126
Ninja,chowh1,105
Ninja,HasanAbi,691
Ninja,CDNThe3rd,261
Ninja,KarasMai,119
Ninja,Clix,4927
Ninja,knekro,103
Ninja,BobRoss,102
Ninja,aroyitt,101
Ninja,JohnnyBoi_i,223
Ninja,Nick28T,112
Ninja,tarik,431
Ninja,Masayoshi,114
Ninja,jacksepticeye,359
Ninja,Amar,333
Ninja,KingGeorge,158
Ninja,coscu,220
Ninja,Recrent,210
Ninja,LuluLuvely,326
Ninja,ElmiilloR,180
Ninja,Sardoche,185
Ninja,TeePee,201
Ninja,ShivFPS,484
Ninja,ludwig,1700
Ninja,ItsJSTN,182
Ninja,dakotaz,1571
Ninja,mitr0,385
Ninja,AriaSaki,316
Ninja,GothamChess,163
Ninja,JASONR,411
Ninja,Dashy,144
Ninja,TinaKitten,262
Ninja,sodapoppin,1159
Ninja,RduLIVE,175
Ninja,moistcr1tikal,309
Ninja,fnxLNTC,121
Ninja,LIRIK,881
Ninja,Nightblue3,230
Ninja,lestream,220
Ninja,Atrioc,217
Ninja,Xiuder_,182
Ninja,PaymoneyWubby,104
Ninja,karavay46,131
Ninja,Marzz_Ow,282
Ninja,NoWay4u_Sir,146
Ninja,Bugha,1873
Ninja,ilMasseo,198
Ninja,Scarra,211
Ninja,pokimane,1376
Ninja,Loeya,1055
Ninja,melina,374
Ninja,LeBouseuh,223
Ninja,deercheerup,123
Ninja,Shlorox,204
Ninja,Loserfruit,342
Ninja,MuTeX,214
Ninja,buster,212
Ninja,neeko,167
Ninja,dopa24,116
Ninja,Syndicate,576
Ninja,Pink_Sparkles,151
Ninja,NiteNightKid,136
Ninja,Arab,360
Ninja,Tubbo,393
Ninja,rewinside,115
Ninja,itsHafu,657
Ninja,AsmodaiTV,102
Ninja,NateHill,1326
Ninja,IamCristinini,179
Ninja,Elraenn,215
Ninja,Gladd,327
Ninja,Reborn_Live,110
Ninja,Ponce,225
Ninja,Tumblurr,206
Ninja,NymN,214
Ninja,LITkillah,106
Ninja,QuarterJade,353
Ninja,ReventXz,105
Ninja,Jelty,318
Ninja,alanzoka,338
Ninja,wtcN,229
Ninja,JOEYKAOTYK,123
Ninja,MitchJones,555
Ninja,Pieface23,170
Ninja,SnaggyMo,171
Ninja,Gorgc,329
Ninja,unsympathisch_tv,111
Ninja,AdmiralBulldog,170
Ninja,playapex,247
Ninja,masondota2,126
Ninja,Alexby11,138
Ninja,Maximilian_DOOD,324
Ninja,s0mcs,290
Ninja,Rogue,213
Ninja,The_Happy_Hob,101
Ninja,robcdee,144
Ninja,Maya,416
Ninja,Albralelie,137
Ninja,elded,242
Ninja,NICKMERCS,10242
Ninja,LosPollosTV,600
Ninja,Staryuuki,236
Ninja,SteveSuptic,158
Ninja,Faker,421
Ninja,k3soju,252
Ninja,Japczan,112
Ninja,jordy2d,132
Ninja,Kitboga,309
Ninja,Otzdarva,122
Ninja,HusKerrs,485
Ninja,BotezLive,155
Ninja,AdmiralBahroo,246
Ninja,bnans,167
Ninja,Ash_on_LoL,248
Ninja,Tiagovski555YT,107
Ninja,Trymacs,360
Ninja,Im_Dontai,129
Ninja,sleepy,126
Ninja,Smoke,150
Ninja,JeelTV,157
Ninja,DavidDobrik,136
Ninja,Kaellyn,163
Ninja,Castro_1021,1168
Ninja,39daph,210
Ninja,Crowder,197
Ninja,GMHikaru,581
Ninja,Tyceno,227
Ninja,oGovernor,290
Ninja,GeorgeNotFound,576
Ninja,IWillDominate,148
Ninja,ZanoXVII,167
Ninja,ShahZaM,124
Ninja,SquishyMuffinz,263
Ninja,djrayraytaiwan,146
Ninja,SPYGEA,181
Ninja,wavyjacob,200
Ninja,averagejoewo,101
Ninja,ConnorEatsPants,201
Ninja,Philza,488
Ninja,nelkboys,454
Ninja,Fextralife,110
Ninja,Enviosity,144
Ninja,Sacriel,157
Ninja,eliasn97,132
Ninja,x2Twins,482
Ninja,ZLOYn,118
Ninja,Shotz,231
Ninja,Yogscast,131
Ninja,Evelone192,281
Ninja,Jankos,226
Ninja,Rekkles,507
Ninja,ROSHTEIN,470
Ninja,TFBlade,256
Ninja,SmallAnt,131
Ninja,StableRonaldo_,1230
Ninja,fuslie,394
Ninja,archangel_hs,131
Ninja,RiceGum,552
Ninja,mistermv,187
Ninja,limit_maximum,126
tinowns,loltyler1,113
tinowns,Gaules,358
tinowns,JonVlogs,115
tinowns,sneakylol,118
tinowns,Felps,125
tinowns,casimito,154
tinowns,fer,245
tinowns,Baiano,1870
tinowns,takeshi,402
tinowns,g2perkz,145
tinowns,mount,109
tinowns,cidcidoso,164
tinowns,Doublelift,211
tinowns,gafallen,405
tinowns,Mylonzete,667
tinowns,fnxLNTC,268
tinowns,Gabi,234
tinowns,deercheerup,223
tinowns,dopa24,106
tinowns,FlowPodcast,244
tinowns,alanzoka,865
tinowns,jean_mago,1722
tinowns,hastad,111
tinowns,henriquehen1,163
tinowns,Rakin,483
tinowns,Faker,361
tinowns,lucascharmoso,249
tinowns,RatoBorrachudo,171
tinowns,aXtLOL,894
tinowns,tioorochitwitch,205
tinowns,ziGueira,145
tinowns,adolfz,149
tinowns,Rekkles,283
tinowns,PatoPapao,458
tinowns,jovirone,192
Xposed,Ninja,238
Xposed,loltyler1,136
Xposed,summit1g,196
Xposed,DrLupo,113
Xposed,AdinRoss,135
Xposed,shroud,175
Xposed,stevewillsendit,560
Xposed,Aydan,149
Xposed,xQcOW,334
Xposed,Mizkif,173
Xposed,Tfue,135
Xposed,Sykkuno,108
Xposed,scump,232
Xposed,TimTheTatman,191
Xposed,Symfuhny,121
Xposed,Nadeshot,121
Xposed,SypherPK,109
Xposed,Trainwreckstv,168
Xposed,DeuceAce,662
Xposed,Clix,145
Xposed,ludwig,203
Xposed,LIRIK,112
Xposed,MitchJones,102
Xposed,ClassyBeef,156
Xposed,NICKMERCS,465
Xposed,LosPollosTV,177
Xposed,Castro_1021,133
Xposed,nelkboys,482
Xposed,ROSHTEIN,1180
Xposed,RiceGum,116
yamatonjp,Ninja,218
yamatonjp,loltyler1,197
yamatonjp,loustreams,106
yamatonjp,summit1g,232
yamatonjp,DrLupo,202
yamatonjp,Gaules,230
yamatonjp,Amouranth,220
yamatonjp,shroud,284
yamatonjp,Fresh,179
yamatonjp,EsfandTV,183
yamatonjp,BruceDropEmOff,200
yamatonjp,xQcOW,309
yamatonjp,Cizzorz,168
yamatonjp,chocoTaco,202
yamatonjp,boxbox,186
yamatonjp,TSM_ImperialHal,265
yamatonjp,Tfue,135
yamatonjp,Thijs,162
yamatonjp,dogdog,145
yamatonjp,Jinnytty,152
yamatonjp,Gotaga,141
yamatonjp,Rubius,157
yamatonjp,Quin69,165
yamatonjp,ONSCREEN,148
yamatonjp,Heelmike,113
yamatonjp,Kyle,136
yamatonjp,Eray,127
yamatonjp,BastiGHG,139
yamatonjp,TheGrefg,110
yamatonjp,fps_shaka,2601
yamatonjp,kyo1984123,129
yamatonjp,Greekgodx,157
yamatonjp,Symfuhny,163
yamatonjp,SypherPK,198
yamatonjp,Trainwreckstv,194
yamatonjp,MarkiLokurasY,152
yamatonjp,Shaunz,168
yamatonjp,CDNThe3rd,116
yamatonjp,Recrent,165
yamatonjp,ShivFPS,191
yamatonjp,AriaSaki,182
yamatonjp,sodapoppin,172
yamatonjp,LIRIK,158
yamatonjp,Nightblue3,141
yamatonjp,lestream,167
yamatonjp,Xiuder_,143
yamatonjp,ilMasseo,142
yamatonjp,Scarra,167
yamatonjp,pokimane,140
yamatonjp,Loeya,159
yamatonjp,LeBouseuh,136
yamatonjp,Shlorox,151
yamatonjp,Loserfruit,142
yamatonjp,Syndicate,160
yamatonjp,finalfantasyxiv,189
yamatonjp,itsHafu,156
yamatonjp,Ponce,172
yamatonjp,Tumblurr,130
yamatonjp,QuarterJade,163
yamatonjp,alanzoka,142
yamatonjp,JOEYKAOTYK,124
yamatonjp,Gorgc,149
yamatonjp,Maximilian_DOOD,167
yamatonjp,robcdee,139
yamatonjp,Albralelie,105
yamatonjp,NICKMERCS,178
yamatonjp,Staryuuki,165
yamatonjp,Faker,123
yamatonjp,Kitboga,171
yamatonjp,Ash_on_LoL,153
yamatonjp,alelu,134
yamatonjp,JeelTV,145
yamatonjp,Castro_1021,146
yamatonjp,Tyceno,131
yamatonjp,DaigoTheBeasTV,123
yamatonjp,djrayraytaiwan,139
yamatonjp,SPYGEA,1297
yamatonjp,x2Twins,114
yamatonjp,mistermv,138
Chigua,goncho,421
Chigua,DuendePablo,155
Chigua,Vicens,110
Chigua,ibai,299
Chigua,Rubius,234
Chigua,TheGrefg,179
Chigua,auronplay,133
Chigua,MarkiLokurasY,103
Chigua,Clix,114
Chigua,coscu,634
Chigua,facubanzas,135
Chigua,LITkillah,212
Chigua,TheMasterRodrigo,278
Chigua,Brunenger,575
loltyler1,Ninja,1490
loltyler1,tinowns,113
loltyler1,Xposed,136
loltyler1,yamatonjp,197
loltyler1,Arcadum,143
loltyler1,Vinesauce,258
loltyler1,loustreams,129
loltyler1,willneff,219
loltyler1,summit1g,2516
loltyler1,PENTA,142
loltyler1,LVNDMARK,419
loltyler1,Dota2RuHub,129
loltyler1,roflgator,390
loltyler1,DrLupo,682
loltyler1,AdinRoss,140
loltyler1,Gaules,289
loltyler1,dasMEHDI,193
loltyler1,Criken,101
loltyler1,Amouranth,462
loltyler1,Beaulo,179
loltyler1,shroud,2588
loltyler1,MYM_ALKAPONE,101
loltyler1,Fresh,194
loltyler1,Calebhart42,159
loltyler1,EsfandTV,826
loltyler1,supertf,214
loltyler1,MOONMOON,1124
loltyler1,Ramee,244
loltyler1,BruceDropEmOff,263
loltyler1,dunkstream,1281
loltyler1,WARDELL,403
loltyler1,stevewillsendit,101
loltyler1,sneakylol,1745
loltyler1,Aydan,113
loltyler1,xChocoBars,239
loltyler1,Flight23white,120
loltyler1,xQcOW,7974
loltyler1,ChilledChaos,107
loltyler1,UberHaxorNova,133
loltyler1,harbleu,171
loltyler1,ANGRYPUG,181
loltyler1,Destiny,703
loltyler1,GMNaroditsky,113
loltyler1,RatedEpicz,233
loltyler1,Insomniac,101
loltyler1,yvonnie,101
loltyler1,Mizkif,2759
loltyler1,daltoosh,160
loltyler1,TenZ,451
loltyler1,Cizzorz,204
loltyler1,chocoTaco,310
loltyler1,Captainflowers22,580
loltyler1,nl_Kripp,627
loltyler1,boxbox,475
loltyler1,Pikabooirl,340
loltyler1,Natsumiii,110
loltyler1,Swagg,150
loltyler1,zackrawrr,804
loltyler1,starsmitten,107
loltyler1,Stanz,120
loltyler1,TSM_ImperialHal,342
loltyler1,Baiano,101
loltyler1,epicenter_en1,219
loltyler1,Tfue,425
loltyler1,Thijs,508
loltyler1,ibai,577
loltyler1,Jahrein,145
loltyler1,dogdog,446
loltyler1,keanelol,304
loltyler1,FabulousN,110
loltyler1,Werlyb,107
loltyler1,cdewx,226
loltyler1,Kurumx,286
loltyler1,Nmplol,1701
loltyler1,Sykkuno,1017
loltyler1,Jinnytty,783
loltyler1,Gotaga,219
loltyler1,CallMeCarsonLIVE,127
loltyler1,pokelawls,788
loltyler1,Warframe,152
loltyler1,Rubius,583
loltyler1,scump,323
loltyler1,Quin69,869
loltyler1,ONSCREEN,182
loltyler1,Heelmike,116
loltyler1,Towelliee,125
loltyler1,bmkibler,108
loltyler1,Kyle,193
loltyler1,g2perkz,3050
loltyler1,Northernlion,131
loltyler1,Eray,143
loltyler1,Alderiate,132
loltyler1,Broeki1,134
loltyler1,Paoloidolo,120
loltyler1,BastiGHG,175
loltyler1,TheGrefg,189
loltyler1,itsRyanHiga,144
loltyler1,Zombie_Barricades,137
loltyler1,kyo1984123,125
loltyler1,midbeast,1631
loltyler1,HoneyMad,121
loltyler1,Tectone,118
loltyler1,peterparkTV,183
loltyler1,auronplay,178
loltyler1,CohhCarnage,473
loltyler1,Greekgodx,991
loltyler1,TimTheTatman,1154
loltyler1,scoped,115
loltyler1,5uppp,151
loltyler1,Symfuhny,393
loltyler1,Nadeshot,332
loltyler1,LVPes,102
loltyler1,Doublelift,2829
loltyler1,ELoTRiX,147
loltyler1,tommyinnit,196
loltyler1,Aurateur,104
loltyler1,SypherPK,350
loltyler1,notmes,242
loltyler1,Trainwreckstv,2642
loltyler1,MarkiLokurasY,159
loltyler1,DeuceAce,247
loltyler1,Shaunz,215
loltyler1,gafallen,122
loltyler1,HasanAbi,1498
loltyler1,CDNThe3rd,200
loltyler1,KarasMai,1238
loltyler1,Clix,303
loltyler1,knekro,176
loltyler1,BobRoss,141
loltyler1,JohnnyBoi_i,133
loltyler1,tarik,325
loltyler1,Masayoshi,109
loltyler1,jacksepticeye,154
loltyler1,KingGeorge,113
loltyler1,alexelcapo,194
loltyler1,coscu,231
loltyler1,Recrent,182
loltyler1,Sanchovies,706
loltyler1,LuluLuvely,164
loltyler1,ElmiilloR,401
loltyler1,Sardoche,278
loltyler1,ShivFPS,300
loltyler1,ludwig,2440
loltyler1,ItsJSTN,111
loltyler1,dakotaz,311
loltyler1,AriaSaki,313
loltyler1,GothamChess,246
loltyler1,JASONR,138
loltyler1,TinaKitten,253
loltyler1,sodapoppin,3353
loltyler1,RduLIVE,261
loltyler1,moistcr1tikal,647
loltyler1,LIRIK,2021
loltyler1,Tomato,108
loltyler1,Nightblue3,1055
loltyler1,lestream,214
loltyler1,Atrioc,294
loltyler1,Xiuder_,129
loltyler1,PaymoneyWubby,230
loltyler1,NoWay4u_Sir,563
loltyler1,Steelmage,147
loltyler1,Bugha,151
loltyler1,ilMasseo,154
loltyler1,Scarra,290
loltyler1,pokimane,1242
loltyler1,holak1337,126
loltyler1,Loeya,197
loltyler1,melina,507
loltyler1,LeBouseuh,145
loltyler1,lol_selfmade,217
loltyler1,maitoz,128
loltyler1,Shlorox,179
loltyler1,Loserfruit,161
loltyler1,singsing,108
loltyler1,AvoidingThePuddle,259
loltyler1,neeko,166
loltyler1,dopa24,847
loltyler1,Syndicate,297
loltyler1,Pink_Sparkles,191
loltyler1,itsHafu,546
loltyler1,AsmodaiTV,158
loltyler1,Elraenn,125
loltyler1,Gladd,193
loltyler1,Ponce,194
loltyler1,Tumblurr,166
loltyler1,NymN,530
loltyler1,QuarterJade,453
loltyler1,ReventXz,138
loltyler1,maxim,125
loltyler1,alanzoka,260
loltyler1,jean_mago,165
loltyler1,wtcN,113
loltyler1,JOEYKAOTYK,128
loltyler1,SirhcEz,307
loltyler1,MitchJones,1780
loltyler1,Gorgc,334
loltyler1,AdmiralBulldog,266
loltyler1,playapex,149
loltyler1,Deadlyslob,104
loltyler1,masondota2,158
loltyler1,Maximilian_DOOD,400
loltyler1,s0mcs,134
