Source,Target,Type,Id,Label,timeset,Weight
loud_thurzin,Gaules,Undirected,39108,,,1200
loud_thurzin,loud_babi,Undirected,39109,,,1462
loud_thurzin,loud_bak,Undirected,39110,,,17264
loud_thurzin,PeuzadaTV,Undirected,39111,,,1316
loud_thurzin,NOBRU,Undirected,39112,,,2488
Destiny,summit1g,Undirected,39113,,,1126
Destiny,zackrawrr,Undirected,39114,,,708
Destiny,dunkstream,Undirected,39115,,,764
Destiny,Mizkif,Undirected,39116,,,2626
Destiny,willneff,Undirected,39117,,,516
Destiny,melina,Undirected,39118,,,1266
Destiny,EsfandTV,Undirected,39119,,,852
Destiny,xQcOW,Undirected,39120,,,5018
Destiny,MOONMOON,Undirected,39121,,,1246
Destiny,shroud,Undirected,39122,,,1364
Destiny,loltyler1,Undirected,39123,,,1282
Destiny,roflgator,Undirected,39124,,,584
Destiny,pokimane,Undirected,39125,,,928
Destiny,Nmplol,Undirected,39126,,,1976
Destiny,Jinnytty,Undirected,39127,,,1020
Destiny,Greekgodx,Undirected,39128,,,858
Destiny,moistcr1tikal,Undirected,39129,,,528
Destiny,LIRIK,Undirected,39130,,,1130
Destiny,Sykkuno,Undirected,39131,,,534
Destiny,Trainwreckstv,Undirected,39132,,,2914
Destiny,Maya,Undirected,39133,,,1072
Destiny,HasanAbi,Undirected,39134,,,2330
Destiny,Quin69,Undirected,39135,,,532
Destiny,NymN,Undirected,39136,,,802
Destiny,ludwig,Undirected,39137,,,2232
Destiny,sodapoppin,Undirected,39138,,,2470
Destiny,MitchJones,Undirected,39139,,,1598
Destiny,pokelawls,Undirected,39140,,,1066
Destiny,39daph,Undirected,39141,,,598
Destiny,GMHikaru,Undirected,39142,,,746
Beaulo,xQcOW,Undirected,39143,,,1052
Beaulo,shroud,Undirected,39144,,,654
Beaulo,KingGeorge,Undirected,39145,,,902
Criken,Vinesauce,Undirected,39146,,,660
Criken,Tomato,Undirected,39147,,,2272
Xposed,stevewillsendit,Undirected,39148,,,802
Xposed,xQcOW,Undirected,39149,,,618
Xposed,nelkboys,Undirected,39150,,,906
Xposed,NICKMERCS,Undirected,39151,,,864
Xposed,DeuceAce,Undirected,39152,,,1242
Xposed,ROSHTEIN,Undirected,39153,,,2180
yamatonjp,xQcOW,Undirected,39154,,,540
yamatonjp,SPYGEA,Undirected,39155,,,2198
yamatonjp,fps_shaka,Undirected,39156,,,4352
tinowns,Gaules,Undirected,39157,,,616
tinowns,gafallen,Undirected,39158,,,674
tinowns,PatoPapao,Undirected,39159,,,814
tinowns,Rekkles,Undirected,39160,,,524
tinowns,Faker,Undirected,39161,,,652
tinowns,Rakin,Undirected,39162,,,894
tinowns,takeshi,Undirected,39163,,,746
tinowns,jean_mago,Undirected,39164,,,3138
tinowns,Mylonzete,Undirected,39165,,,1262
tinowns,aXtLOL,Undirected,39166,,,1608
tinowns,Baiano,Undirected,39167,,,3484
tinowns,alanzoka,Undirected,39168,,,1598
stevewillsendit,nelkboys,Undirected,39170,,,2182
