Channel,% Overlap of Atrioc Followers,% Overlap of Their Followers
atrioc,100.00%,100.00%
whodat950,3.28%,95.16%
stanz,39.95%,75.00%
qtcinderella,52.54%,16.20%
simply,20.60%,13.09%
willneff,20.71%,10.92%
mang0,34.86%,10.73%
connoreatspants,33.25%,7.51%
btssmash,11.84%,6.34%
maya,23.50%,6.17%
hungrybox,13.69%,5.15%
smallant,26.49%,4.72%
mizkif,52.91%,4.51%
pointcrow,8.73%,4.44%
ludwig,93.03%,4.14%
linkus7,5.77%,3.97%
jerma985,18.35%,3.95%
arcadum,6.61%,3.17%
austinshow,31.63%,2.64%
moistcr1tikal,57.69%,2.52%
northernlion,8.05%,2.25%
sykkuno,33.33%,1.18%
