Source,Target,Weight
SmiteGame,xQcOW,336
elded,Jelty,673
elded,Staryuuki,378
elded,natalan,382
elded,TheGrefg,417
elded,juansguarnizo,8022
elded,D3stri,535
elded,akim,547
elded,BarcaGamer,762
elded,auronplay,700
elded,ibai,345
elded,Rubius,1334
Aydan,xQcOW,465
Aydan,JoeWo,812
Aydan,FaZeBlaze,1106
Aydan,its_iron,366
Aydan,Clix,487
Aydan,TeePee,612
Aydan,HusKerrs,1767
Aydan,TimTheTatman,1384
Aydan,Tfue,599
Aydan,TeeGrizzley,318
Aydan,Symfuhny,2251
Aydan,Swagg,2549
Aydan,NICKMERCS,5256
Aydan,MuTeX,1321
Aydan,cloakzy,1441
Aydan,Ninja,364
Aydan,DiazBiffle,742
Hayashii,Gaules,439
Hayashii,alanzoka,612
masondota2,xQcOW,592
masondota2,shroud,317
masondota2,Gorgc,3086
masondota2,OGADotaPIT,456
masondota2,dota2mc_ru,526
masondota2,PGL_Dota2,1624
masondota2,DreamLeague,5259
masondota2,AdmiralBulldog,1156
masondota2,BeyondTheSummit,786
masondota2,Daxak,445
twlevewinsHS,nl_Kripp,802
twlevewinsHS,dogdog,1734
twlevewinsHS,AsmodaiTV,1480
twlevewinsHS,Thijs,488
twlevewinsHS,RduLIVE,1159
twlevewinsHS,itsHafu,416
xQcOW,ludwig,6113
xQcOW,sodapoppin,12529
xQcOW,Doublelift,1373
xQcOW,aceu,1529
xQcOW,lilypichu,866
xQcOW,moistcr1tikal,3039
xQcOW,peterparkTV,538
xQcOW,shroud,7476
xQcOW,PaymoneyWubby,676
xQcOW,Flight23white,697
xQcOW,fuslie,453
xQcOW,TSM_ImperialHal,878
xQcOW,HasanAbi,8054
xQcOW,FaZeBlaze,362
xQcOW,Jerma985,1534
xQcOW,summit1g,5586
xQcOW,Nadeshot,474
xQcOW,UberHaxorNova,384
xQcOW,Gaules,505
xQcOW,nl_Kripp,890
xQcOW,LVNDMARK,1354
xQcOW,knekro,357
xQcOW,BotezLive,2015
xQcOW,CaptainPuffy,346
xQcOW,Sykkuno,1878
xQcOW,Xposed,367
xQcOW,Bugha,604
xQcOW,EsfandTV,3468
xQcOW,PENTA,419
xQcOW,Clix,1653
xQcOW,KingGeorge,442
xQcOW,boxbox,595
xQcOW,YoDa,394
xQcOW,RatedEpicz,468
xQcOW,TenZ,395
xQcOW,RanbooLive,566
xQcOW,willneff,832
xQcOW,Maya,3898
xQcOW,Gorgc,1011
xQcOW,AdinRoss,807
xQcOW,daltoosh,306
xQcOW,39daph,3616
xQcOW,kross_fusionz,346
xQcOW,TFBlade,1568
xQcOW,ROSHTEIN,895
xQcOW,sweetdreams,336
xQcOW,Sanchovies,588
xQcOW,Fundy,343
xQcOW,loltyler1,11459
xQcOW,orslok,501
xQcOW,Im_Dontai,460
xQcOW,RATIRL,2089
xQcOW,AvoidingThePuddle,503
xQcOW,TwitchRivals,1519
xQcOW,HealthyGamer_GG,2889
xQcOW,scump,413
xQcOW,TinaKitten,463
xQcOW,sips_,550
xQcOW,Masayoshi,326
xQcOW,Albralelie,312
xQcOW,dizzy,684
xQcOW,Quin69,2383
xQcOW,space,412
xQcOW,melharucos,537
xQcOW,sinatraa,1677
xQcOW,GMHikaru,6426
xQcOW,RevedTV,361
xQcOW,AriaSaki,1238
xQcOW,Mizkif,13068
xQcOW,AdmiralBahroo,961
xQcOW,QTCinderella,441
xQcOW,Elajjaz,885
xQcOW,juansguarnizo,388
xQcOW,dogdog,686
xQcOW,CohhCarnage,827
xQcOW,Tubbo,954
xQcOW,NickEh30,627
xQcOW,Thijs,735
xQcOW,LosPollosTV,1278
xQcOW,Nmplol,11248
xQcOW,Vinesauce,367
xQcOW,Punz,551
xQcOW,sneakylol,670
xQcOW,LCK,4025
xQcOW,Pestily,646
xQcOW,Ramee,322
xQcOW,k3soju,774
xQcOW,Yassuo,1332
xQcOW,SOZZLEPOPP,337
xQcOW,Flexinja,467
xQcOW,chefstrobel,390
xQcOW,nyanners,319
xQcOW,WARDELL,1397
xQcOW,supertf,601
xQcOW,HusKerrs,449
xQcOW,LPL,305
xQcOW,sleepy,682
xQcOW,OkCode,407
xQcOW,pokelawls,9412
xQcOW,Grossie_Gore,680
xQcOW,Cellbit,370
xQcOW,TEBtv,317
xQcOW,Steelmage,354
xQcOW,alanzoka,491
xQcOW,Smoke,376
xQcOW,TimTheTatman,5302
xQcOW,Trainwreckstv,6848
xQcOW,The_Happy_Hob,359
xQcOW,Voyboy,443
xQcOW,imls,706
xQcOW,Jankos,703
xQcOW,Tfue,4709
xQcOW,Enviosity,908
xQcOW,TeeGrizzley,407
xQcOW,Symfuhny,2072
xQcOW,Swagg,522
xQcOW,NICKMERCS,3876
xQcOW,Fresh,441
xQcOW,Forky,393
xQcOW,SmallAnt,549
xQcOW,harbleu,669
xQcOW,Kitboga,1511
xQcOW,PGL_Dota2,359
xQcOW,JessGOAT,303
xQcOW,GothamChess,1245
xQcOW,roflgator,1228
xQcOW,Natsumiii,781
xQcOW,cyr,1609
xQcOW,Otzdarva,373
xQcOW,RduLIVE,364
xQcOW,DreamLeague,1173
xQcOW,Xlice,321
xQcOW,AdmiralBulldog,1449
xQcOW,forsen,11870
xQcOW,Myth,2357
xQcOW,tarzaned,935
xQcOW,QuackityHQ,1309
xQcOW,TheStockGuy,4909
xQcOW,MckyTV,418
xQcOW,Chess,373
xQcOW,xChocoBars,325
xQcOW,Lasqa,320
xQcOW,SteveSuptic,342
xQcOW,Surefour,341
xQcOW,Saiiren,390
xQcOW,karljacobs,1538
xQcOW,auronplay,516
xQcOW,Philza,1304
xQcOW,Foolish__Gamers,310
xQcOW,Diegosaurs,401
xQcOW,DrLupo,477
xQcOW,Japczan,830
xQcOW,itsHafu,837
xQcOW,cloakzy,960
xQcOW,Mathil1,380
xQcOW,ShivFPS,773
xQcOW,sapnapalt,426
xQcOW,Rogue,333
xQcOW,Ray__C,498
xQcOW,Ninja,5077
xQcOW,Tectone,434
xQcOW,ibai,449
xQcOW,pokimane,4844
xQcOW,resttpowered,349
xQcOW,ops1x,887
xQcOW,Papaplatte,2128
xQcOW,MOONMOON,2315
xQcOW,LIRIK,5919
xQcOW,5uppp,782
xQcOW,Trymacs,1802
xQcOW,LCK_Korea,333
xQcOW,Hiko,3502
xQcOW,Rubius,1515
xQcOW,Ash_on_LoL,887
xQcOW,PeteZahHutt,318
SidneyEweka,eliasn97,2477
SidneyEweka,Trymacs,974
ludwig,sodapoppin,2747
ludwig,Doublelift,492
ludwig,aceu,462
ludwig,lilypichu,1439
ludwig,moistcr1tikal,2465
ludwig,peterparkTV,2357
ludwig,shroud,2758
ludwig,PaymoneyWubby,734
ludwig,fuslie,1393
ludwig,HasanAbi,4096
ludwig,Jerma985,1244
ludwig,summit1g,1118
ludwig,LVNDMARK,308
ludwig,BotezLive,1734
ludwig,CaptainPuffy,483
ludwig,Sykkuno,6397
ludwig,EsfandTV,1422
ludwig,boxbox,651
ludwig,KristoferYee,396
ludwig,RanbooLive,918
ludwig,willneff,836
ludwig,Maya,2019
ludwig,39daph,1294
ludwig,Fundy,683
ludwig,loltyler1,1917
ludwig,RATIRL,332
ludwig,TwitchRivals,683
ludwig,HealthyGamer_GG,1565
ludwig,TinaKitten,2044
ludwig,sips_,316
ludwig,Masayoshi,987
ludwig,Quin69,426
ludwig,sinatraa,313
ludwig,GMHikaru,2507
ludwig,AriaSaki,5906
ludwig,Mizkif,5943
ludwig,BrookeAB,422
ludwig,AdmiralBahroo,363
ludwig,QTCinderella,1537
ludwig,dakotaz,305
ludwig,dogdog,366
ludwig,CohhCarnage,321
ludwig,Tubbo,1447
ludwig,Nmplol,2186
ludwig,Punz,630
ludwig,LCK,999
ludwig,k3soju,420
ludwig,Yassuo,381
ludwig,WARDELL,1171
ludwig,pokelawls,1423
ludwig,TimTheTatman,1599
ludwig,Trainwreckstv,1358
ludwig,Tfue,461
ludwig,Symfuhny,452
ludwig,NICKMERCS,840
ludwig,SmallAnt,861
ludwig,Kitboga,423
ludwig,GothamChess,1044
ludwig,roflgator,333
ludwig,Natsumiii,2517
ludwig,cyr,850
ludwig,DreamLeague,418
ludwig,forsen,905
ludwig,Myth,1123
ludwig,QuackityHQ,2472
ludwig,TheStockGuy,1956
ludwig,Chess,350
ludwig,xChocoBars,438
ludwig,SteveSuptic,1349
ludwig,karljacobs,2591
ludwig,Philza,947
ludwig,itsHafu,1466
ludwig,sapnapalt,930
ludwig,Ray__C,647
ludwig,Ninja,973
ludwig,pokimane,3174
ludwig,Papaplatte,306
ludwig,MOONMOON,772
ludwig,LIRIK,1104
ludwig,5uppp,1998
ludwig,Hiko,953
ludwig,Ash_on_LoL,2762
Hajime,Arcadum,328
Hajime,nyanners,1215
Hajime,ironmouse,1312
sodapoppin,Doublelift,682
sodapoppin,aceu,385
sodapoppin,lilypichu,641
sodapoppin,moistcr1tikal,1030
sodapoppin,peterparkTV,318
sodapoppin,shroud,2860
sodapoppin,PaymoneyWubby,467
sodapoppin,HasanAbi,4247
sodapoppin,Jerma985,1183
sodapoppin,summit1g,3433
sodapoppin,UberHaxorNova,471
sodapoppin,nl_Kripp,635
sodapoppin,LVNDMARK,588
sodapoppin,BotezLive,560
sodapoppin,Sykkuno,527
sodapoppin,EsfandTV,3049
sodapoppin,PENTA,767
sodapoppin,boxbox,445
sodapoppin,RatedEpicz,336
sodapoppin,Arcadum,733
sodapoppin,willneff,601
sodapoppin,Maya,2804
sodapoppin,Gorgc,477
sodapoppin,39daph,2328
sodapoppin,TFBlade,427
sodapoppin,ROSHTEIN,333
sodapoppin,loltyler1,3700
sodapoppin,RATIRL,833
sodapoppin,AvoidingThePuddle,576
sodapoppin,TwitchRivals,536
sodapoppin,HealthyGamer_GG,1391
sodapoppin,dasMEHDI,320
sodapoppin,sips_,446
sodapoppin,Quin69,2892
sodapoppin,GMHikaru,1048
sodapoppin,AriaSaki,702
sodapoppin,Mizkif,7296
sodapoppin,AdmiralBahroo,2711
sodapoppin,Elajjaz,997
sodapoppin,dogdog,485
sodapoppin,CohhCarnage,1510
sodapoppin,Thijs,430
sodapoppin,Nmplol,9077
sodapoppin,Vinesauce,340
sodapoppin,sneakylol,444
sodapoppin,LCK,1458
sodapoppin,Pestily,348
sodapoppin,k3soju,342
sodapoppin,Yassuo,376
sodapoppin,nyanners,360
sodapoppin,SovietWomble,370
sodapoppin,pokelawls,7074
sodapoppin,Steelmage,337
sodapoppin,TimTheTatman,1779
sodapoppin,Trainwreckstv,2865
sodapoppin,Tfue,429
sodapoppin,Enviosity,416
sodapoppin,Symfuhny,409
sodapoppin,NICKMERCS,612
sodapoppin,Kitboga,695
sodapoppin,roflgator,2765
sodapoppin,Natsumiii,378
sodapoppin,cyr,1417
sodapoppin,DreamLeague,549
sodapoppin,AdmiralBulldog,608
sodapoppin,forsen,5052
sodapoppin,Myth,614
sodapoppin,TheStockGuy,2108
sodapoppin,Surefour,765
sodapoppin,Saiiren,1038
sodapoppin,DrLupo,311
sodapoppin,Kyle,512
sodapoppin,itsHafu,424
sodapoppin,Mathil1,833
sodapoppin,Ninja,923
sodapoppin,pokimane,1770
sodapoppin,Papaplatte,417
sodapoppin,MOONMOON,6589
sodapoppin,LIRIK,4814
sodapoppin,Hiko,557
sodapoppin,Ash_on_LoL,411
Pieface23,Aa9skillz,361
Pieface23,NICKMERCS,405
Doublelift,aceu,370
Doublelift,lilypichu,303
Doublelift,shroud,1150
Doublelift,HasanAbi,532
Doublelift,summit1g,653
Doublelift,Sykkuno,371
Doublelift,boxbox,537
Doublelift,YoDa,336
Doublelift,Academy,447
Doublelift,TFBlade,2163
Doublelift,midbeast,325
Doublelift,Sanchovies,661
Doublelift,loltyler1,7791
Doublelift,NoWay4u_Sir,494
Doublelift,RATIRL,1266
Doublelift,TwitchRivals,2319
Doublelift,Quin69,345
Doublelift,GMHikaru,658
Doublelift,Mizkif,421
Doublelift,dogdog,469
Doublelift,Vakin,327
Doublelift,sneakylol,2340
Doublelift,LCK,4932
Doublelift,k3soju,775
Doublelift,Yassuo,1286
Doublelift,LPL,518
Doublelift,Grossie_Gore,318
Doublelift,Nightblue3,428
Doublelift,TimTheTatman,463
Doublelift,Voyboy,860
Doublelift,imls,435
Doublelift,Jankos,1454
Doublelift,NICKMERCS,368
Doublelift,tarzaned,1569
Doublelift,TheStockGuy,484
Doublelift,itsHafu,340
Doublelift,Ninja,1159
Doublelift,pokimane,642
Doublelift,MOONMOON,323
Doublelift,LIRIK,497
Doublelift,LCK_Korea,355
Doublelift,Hiko,525
luquitarodriguez,ElcanaldeJoaco,403
luquitarodriguez,DuendePablo,735
luquitarodriguez,goncho,624
luquitarodriguez,Pimpeano,961
luquitarodriguez,momoladinastia,855
luquitarodriguez,ibai,311
aceu,shroud,3326
aceu,TSM_ImperialHal,631
aceu,HasanAbi,363
aceu,summit1g,384
aceu,Sykkuno,670
aceu,TenZ,818
aceu,39daph,929
aceu,loltyler1,580
aceu,dizzy,613
aceu,sinatraa,1690
aceu,Mizkif,357
aceu,iiTzTimmy,367
aceu,LCK,407
aceu,Flexinja,792
aceu,WARDELL,1325
aceu,pokelawls,380
aceu,TimTheTatman,861
aceu,Natsumiii,336
aceu,Myth,931
aceu,Ninja,1372
aceu,pokimane,817
aceu,LIRIK,338
aceu,Hiko,2255
Brunenger,k1ng,640
Brunenger,ElcanaldeJoaco,1276
Brunenger,coscu,754
Brunenger,DuendePablo,315
Brunenger,goncho,549
Brunenger,manurapaline,496
Brunenger,Pimpeano,2555
Brunenger,momoladinastia,1419
Brunenger,okyyy,5189
Brunenger,ibai,461
scoped,Jelty,301
scoped,Bugha,832
scoped,Clix,2062
scoped,NickEh30,543
scoped,Tfue,512
scoped,NICKMERCS,409
scoped,Fresh,677
scoped,ops1x,1176
k1ng,ElcanaldeJoaco,719
k1ng,Jelty,2949
k1ng,pgod,1172
k1ng,coscu,636
k1ng,Bugha,951
k1ng,Clix,1452
k1ng,Llobeti4,472
k1ng,TheGrefg,1200
k1ng,goncho,390
k1ng,seeyunxd,2011
k1ng,juansguarnizo,616
k1ng,TaySon,314
k1ng,Forweark,764
k1ng,Alliege,464
k1ng,Pimpeano,2177
k1ng,momoladinastia,1001
k1ng,okyyy,741
k1ng,Rustyk,1997
k1ng,auronplay,441
k1ng,Vicens,592
k1ng,ibai,477
