Source,Target,Weight
GUANYAR,Llobeti4,1035
GUANYAR,Spursito,652
GUANYAR,sujagg,557
GUANYAR,rickyedit,757
GUANYAR,TheGrefg,1280
GUANYAR,ibai,1186
GUANYAR,Peereira7,1239
ESL_CSGOb,Fextralife,1465
ESL_CSGOb,masondota2,741
ESL_CSGOb,bt0tv,2075
ESL_CSGOb,Mizkif,1227
ESL_CSGOb,JASONR,743
ESL_CSGOb,liminhag0d,841
ESL_CSGOb,xQcOW,4768
ESL_CSGOb,RatedEpicz,722
ESL_CSGOb,elxokas,670
ESL_CSGOb,TSM_ImperialHal,1060
ESL_CSGOb,sinatraa,983
ESL_CSGOb,k3soju,541
ESL_CSGOb,Kyedae,1707
ESL_CSGOb,AsunaWEEB,684
ESL_CSGOb,AverageJonas,703
ESL_CSGOb,TheRealKnossi,777
ESL_CSGOb,ludwig,1959
ESL_CSGOb,B0aty,504
ESL_CSGOb,LVNDMARK,786
ESL_CSGOb,sneakylol,667
ESL_CSGOb,buster,935
ESL_CSGOb,Thijs,541
ESL_CSGOb,Trymacs,650
ESL_CSGOb,WePlayCSGO_ru,1678
ESL_CSGOb,Asmongold,1341
ESL_CSGOb,ZLOYn,522
ESL_CSGOb,AdinRoss,594
ESL_CSGOb,PAGO3,549
ESL_CSGOb,sodapoppin,2347
ESL_CSGOb,m3traNeo,673
ESL_CSGOb,midbeast,1159
ESL_CSGOb,Kandyland,547
ESL_CSGOb,ClintStevens,569
ESL_CSGOb,iiTzTimmy,1253
ESL_CSGOb,CohhCarnage,839
ESL_CSGOb,nl_Kripp,942
ESL_CSGOb,ESL_SC2,802
ESL_CSGOb,s1mple,5745
ESL_CSGOb,VinttiMisut,602
ESL_CSGOb,Ramee,739
ESL_CSGOb,MOONMOON,730
ESL_CSGOb,PUBG_BATTLEGROUNDS,1235
ESL_CSGOb,Thebausffs,526
ESL_CSGOb,Evelone192,716
ESL_CSGOb,ROSHTEIN,2277
ESL_CSGOb,ShahZaM,1622
ESL_CSGOb,Anomaly,1270
ESL_CSGOb,VonDice,805
ESL_CSGOb,Alinity,701
ESL_CSGOb,melina,670
ESL_CSGOb,fl0m,3829
ESL_CSGOb,Gorgc,1300
ESL_CSGOb,BotezLive,600
ESL_CSGOb,casimito,557
ESL_CSGOb,TrilluXe,1174
ESL_CSGOb,summit1g,2972
ESL_CSGOb,Hiko,1182
ESL_CSGOb,BeyondTheSummit,4480
ESL_CSGOb,WARDELL,526
ESL_CSGOb,RATIRL,618
ESL_CSGOb,LIRIK,2157
ESL_CSGOb,zorlaKOKA,565
ESL_CSGOb,Faker,760
ESL_CSGOb,Caedrel,1326
ESL_CSGOb,Sykkuno,541
ESL_CSGOb,ESL_csgo_es,1539
ESL_CSGOb,coldzin,859
ESL_CSGOb,Chess,606
ESL_CSGOb,Amouranth,1718
ESL_CSGOb,TEBtvRU,578
ESL_CSGOb,IWillDominate,508
ESL_CSGOb,Wirtual,551
ESL_CSGOb,ESL,930
ESL_CSGOb,Jankos,1095
ESL_CSGOb,GeT_RiGhT,1016
ESL_CSGOb,Gaules,3933
ESL_CSGOb,mch_AGG,829
ESL_CSGOb,Castro_1021,1640
ESL_CSGOb,Subroza,786
ESL_CSGOb,Nmplol,1289
ESL_CSGOb,SicK_cs,899
ESL_CSGOb,NICKMERCS,755
ESL_CSGOb,Trainwreckstv,3480
ESL_CSGOb,VALORANT,10897
ESL_CSGOb,CMARTy,677
ESL_CSGOb,btssmash,512
ESL_CSGOb,Doublelift,785
ESL_CSGOb,TenZ,1043
