ID,Label,Count
GUANYAR,GUANYAR,2300
ESL_CSGOb,ESL_CSGOb,73590
Distortion2,Distortion2,51683
valorant_kr,valorant_kr,17493
Simpson_Mania03,Simpson_Mania03,40985
Zoofilini,Zoofilini,19573
relaxing234,relaxing234,72938
BikeMan,BikeMan,17607
MarkitoNavaja,MarkitoNavaja,52018
Crystal_LoL,Crystal_LoL,29421
Fextralife,Fextralife,575272
LEGOO,LEGOO,59664
Mathil1,Mathil1,42905
elreyguiri_f1,elreyguiri_f1,7446
snow_hite,snow_hite,14757
biyin_,biyin_,162661
masondota2,masondota2,61015
StolenBR,StolenBR,21756
CaMaK,CaMaK,14140
Buerinho,Buerinho,23712
ses836,ses836,28224
blackelespanolito,blackelespanolito,43570
goncho,goncho,77285
RokKeks,RokKeks,7872
Limmy,Limmy,30153
BlackMediaPresents,BlackMediaPresents,1423
curvyelephant,curvyelephant,11790
bt0tv,bt0tv,97936
Rescue,Rescue,12400
takesipon,takesipon,30605
Kate,Kate,9903
Kyle,Kyle,73643
RockstarCR,RockstarCR,9885
Repaz,Repaz,24325
Choice,Choice,8553
just_ns,just_ns,32569
crokeyz,crokeyz,23052
JLBichouu,JLBichouu,50068
muangfang,muangfang,5212
AZRA,AZRA,21276
MehdocheLive,MehdocheLive,3060
rudbeckia7,rudbeckia7,17477
pijack11,pijack11,36531
Dekarldent,Dekarldent,17784
ThisIsNotGeorgeNotFound,ThisIsNotGeorgeNotFound,41333
edenitoo,edenitoo,10819
Saintone,Saintone,5583
Towelliee,Towelliee,107416
Raeyei,Raeyei,17848
Jerma985,Jerma985,59979
Meteos,Meteos,88
Corpse_Husband,Corpse_Husband,3841
brothers_baseball,brothers_baseball,27307
Weak3n,Weak3n,25394
SZ_Taisheen,SZ_Taisheen,25110
qSnake,qSnake,15660
Yogscast,Yogscast,20406
jmjdoc,jmjdoc,8778
nbcolympics,nbcolympics,26
Ming,Ming,7005
Hungrybox,Hungrybox,23171
Rogerbrown,Rogerbrown,6010
POW3Rtv,POW3Rtv,77861
jamezconer,jamezconer,9302
liok0485,liok0485,10083
falgwang,falgwang,5012
Mouzakrobat,Mouzakrobat,13067
oTakuVision,oTakuVision,27135
NeVeR_LosEs,NeVeR_LosEs,32841
Spammiej,Spammiej,9987
pizfn,pizfn,46293
LenonNS,LenonNS,4449
Mizkif,Mizkif,152293
Mixwell,Mixwell,54105
mount,mount,41607
viperdemon,viperdemon,21554
Amaz,Amaz,16692
TheRunningManZ,TheRunningManZ,28228
Tectone,Tectone,61564
wtcN,wtcN,151759
Criticas_QLS,Criticas_QLS,21716
Frankkaster,Frankkaster,5855
Doctor_Degen,Doctor_Degen,5253
detonator_robin,detonator_robin,12892
FarhadXRay,FarhadXRay,29822
LordBS,LordBS,1400
Mabzouel,Mabzouel,12578
aDrive,aDrive,15238
ookina,ookina,9599
PokerStars247,PokerStars247,17842
Arab,Arab,21167
TwitchRivals,TwitchRivals,31582
JASONR,JASONR,27505
tyongeee,tyongeee,9326
Natsumiii,Natsumiii,53903
DomenicoWaccoo,DomenicoWaccoo,15747
CzechCloud,CzechCloud,20966
liminhag0d,liminhag0d,61430
FPSThailand,FPSThailand,62949
DrIgo,DrIgo,22184
Datto,Datto,23763
tarzaned,tarzaned,32410
momo_sports,momo_sports,23437
crazyfacetw,crazyfacetw,14336
xQcOW,xQcOW,651512
BananaSlamJamma,BananaSlamJamma,29972
RatedEpicz,RatedEpicz,126249
magixx718,magixx718,2607
Criken,Criken,17134
DesenhosSub,DesenhosSub,0
chloee_fitgamer,chloee_fitgamer,2705
LunaOni,LunaOni,17866
DrGluon,DrGluon,4791
Kamikatze,Kamikatze,11114
Lifecoach1981,Lifecoach1981,11689
SpeedManq,SpeedManq,16360
QuarterJade,QuarterJade,52376
Mithrain,Mithrain,31584
ElMariana,ElMariana,256128
xhibaoger,xhibaoger,35512
antoineah2020,antoineah2020,3302
lol_cuvee,lol_cuvee,9053
Disnof,Disnof,7616
ESKc,ESKc,12023
OnlyMXC,OnlyMXC,6424
oyunfatiihi,oyunfatiihi,12740
wkgml,wkgml,31608
LotharHS,LotharHS,14488
krawkmc,krawkmc,40
Tylerootd,Tylerootd,15269
longwu1216,longwu1216,4440
PsheroTV,PsheroTV,19412
Denis3D,Denis3D,7945
TROPS4,TROPS4,2
SniperNamedG,SniperNamedG,4324
LEC,LEC,11453
jukes,jukes,66906
Maty,Maty,10255
Maximilian_DOOD,Maximilian_DOOD,80946
SmittyW,SmittyW,22470
CobaltStreak,CobaltStreak,17844
Rainbow6LATAM,Rainbow6LATAM,29664
wtf_winds123,wtf_winds123,31478
imaqtpie,imaqtpie,74687
Naowh,Naowh,41522
unsympathisch_tv,unsympathisch_tv,47611
MaTaFe_,MaTaFe_,10015
Tubbo,Tubbo,158700
elxokas,elxokas,357511
TFBlade,TFBlade,75638
zwebackhd,zwebackhd,16068
keznit1,keznit1,28618
dasMEHDI,dasMEHDI,449
BALEROSTYLE,BALEROSTYLE,6805
MywTheKing,MywTheKing,9308
Brizz94,Brizz94,20068
d_obby,d_obby,179
TSM_ImperialHal,TSM_ImperialHal,260417
sinatraa,sinatraa,163716
ZoK3R,ZoK3R,17814
Farmhouse78,Farmhouse78,3111
Hayashii,Hayashii,26391
Move_Mind,Move_Mind,24471
Keife_,Keife_,18680
NymN,NymN,27728
stero2d,stero2d,4198
DarioMocciaTwitch,DarioMocciaTwitch,43669
ds_lily,ds_lily,19847
WestCOL,WestCOL,21792
so_urf,so_urf,13961
9impulse,9impulse,14396
Jonthebroski,Jonthebroski,9542
otplol_,otplol_,188378
hanryang1125,hanryang1125,104997
nwslofficial,nwslofficial,3755
singsing,singsing,39888
fANDERCS,fANDERCS,14015
k3soju,k3soju,73703
Bustin,Bustin,14107
kyliebitkin,kyliebitkin,35783
Kestico,Kestico,24503
BrookeAB,BrookeAB,19142
h920103,h920103,11582
dafran,dafran,9492
Kongfue,Kongfue,5459
Welyn,Welyn,24108
Kiuqsxn,Kiuqsxn,10245
Faiar,Faiar,13853
SixenTv,SixenTv,35880
xo_trixy,xo_trixy,5589
Kyedae,Kyedae,240730
Cr1tdota,Cr1tdota,19511
AsunaWEEB,AsunaWEEB,63571
edopeh,edopeh,9699
JustaMinx,JustaMinx,28402
TitoDami,TitoDami,9647
qq102qq,qq102qq,14369
Enviosity,Enviosity,102452
FifaTargrean,FifaTargrean,13720
Heitir,Heitir,10112
fg_riserio,fg_riserio,396
Spyro_ZA,Spyro_ZA,6786
Kareykadasha,Kareykadasha,1489
8cho,8cho,81464
dreamwastaken,dreamwastaken,21091
bolinha3121,bolinha3121,1
Etalyx,Etalyx,5822
modestal,modestal,42046
iGeStarK,iGeStarK,18558
TEBtvDOTA,TEBtvDOTA,50
mortenroyale,mortenroyale,28976
Emongg,Emongg,27152
Matimi0,Matimi0,10640
iskall85,iskall85,15333
bigdumbgaming,bigdumbgaming,17
RuDex,RuDex,14947
Miniuwa,Miniuwa,7048
Etoiles,Etoiles,53546
EWROON,EWROON,54417
KiGuNiiN,KiGuNiiN,11160
jiudau,jiudau,5227
TheKller,TheKller,12820
AverageJonas,AverageJonas,67063
Zoil,Zoil,12106
Ellesmere_Gaming,Ellesmere_Gaming,5310
TinaKitten,TinaKitten,69472
pikra10,pikra10,21090
ConnorEatsPants,ConnorEatsPants,18323
mayapie1,mayapie1,5749
sidoka_ns,sidoka_ns,4594
FolagorLives,FolagorLives,35756
Crown,Crown,2874
HoliSofi,HoliSofi,10116
chessbrah,chessbrah,23752
SaltyTeemo,SaltyTeemo,6339
BruisedByGod,BruisedByGod,10384
Setty__,Setty__,1209
