Streamer,Unique Viewers,Community ID
xQcOW,932473,11
ibai,882296,32
Rubius,787632,32
shroud,733810,9
auronplay,727219,32
ESL_CSGO,687353,13
Trymacs,678572,169
tommyinnit,660344,4
NICKMERCS,644974,0
RanbooLive,605500,4
Tubbo,589066,4
MontanaBlack88,573836,169
TheGrefg,531197,32
LEC,511240,10
loltyler1,504751,10
TimTheTatman,483421,0
Gaules,475894,1
karljacobs,473201,4
Clix,458863,0
loud_bak,448028,1
summit1g,446566,11
Philza,443507,4
LCS,435722,10
QuackityHQ,430187,4
GeorgeNotFound,428156,4
pokimane,417247,29
dreamwastaken,403251,4
Sykkuno,399012,29
Chess,395935,107
RocketLeague,389701,53
juansguarnizo,384911,32
csgomc_ru,377967,13
Ninja,374235,9
sodapoppin,366658,11
ludwig,364035,107
GMHikaru,359460,107
loud_coringa,348181,1
BLASTPremier,346349,13
Symfuhny,337643,0
Tfue,330352,0
WilburSoot,315792,4
LCK_Korea,307701,15
Jelty,306581,32
LCK,306140,10
boxbox,301837,8
alanzoka,294736,1
Swagg,292831,0
Ray__C,292012,8
dota2mc_ru,285531,13
YoDa,282899,1
buddha,282287,8
HasanAbi,280709,11
Sapnap,278012,4
buster,274157,13
Ash_on_LoL,273641,8
StableRonaldo_,270627,0
Dyannatv,270085,8
Bugha,261275,0
Gotaga,261029,53
Papaplatte,260643,169
SerWinterOfficial,258583,8
moistcr1tikal,253011,107
AdinRoss,249177,0
TSM_ImperialHal,247477,9
hJune,247220,8
bchillz,247108,8
Hutnik,244081,8
Hiko,243613,9
Mizkif,238111,11
Aydan,234995,0
Elraenn,233522,143
CohhCarnage,231885,11
EmadGG,231076,0
Castro_1021,230590,138
LIRIK,229916,11
ZanoXVII,223948,155
HusKerrs,222794,0
ShivFPS,219911,9
Mongraal,212212,0
NickEh30,209994,0
forsen,205936,11
Posty,205736,8
Rekkles,204711,10
aceu,201767,9
trausi,201468,8
Mammoth,201324,8
k1ng,200135,32
pokelawls,199469,11
BadBoyHalo,199119,4
Domingo,197673,53
UNLOSTV,197667,143
JackManifoldTV,197501,4
DreamLeague,195785,13
CoconutB,193053,8
LVNDMARK,192738,11
Rogue,188224,9
KendineMuzisyen,188055,143
Maya,187721,11
benjyfishy,187617,0
TenZ,185444,9
Doublelift,184117,10
Fortnite,183897,0
EsfandTV,183577,11
wtcN,180807,143
Yassuo,178318,10
Nihachu,178227,4
Kamet0,174703,53
otplol_,173359,53
Blizzard,172902,11
winstrike_tv,172438,13
Greekgodx,171390,11
NOBRU,170982,1
elded,170150,32
RiotGamesBrazil,164189,1
Amar,162960,169
Sequisha,162632,8
SypherPK,162618,0
fps_shaka,162180,156
Lifestomper,161312,8
DrLupo,158127,11
ROSHTEIN,157593,169
Mayichi,157033,32
Fresh,156089,0
MOONMOON,155620,11
codemiko,154667,11
eliasn97,154235,169
ops1x,154180,0
Myth,154162,9
BotezLive,153559,107
CaptainPuffy,153475,4
itsHafu,152377,29
kato_junichi0817,151936,156
lilypichu,149317,29
MckyTV,149306,169
Welyn,148808,8
Fextralife,148614,11
cloakzy,148324,0
AustinShow,148231,4
Jahrein,147785,143
Squeezie,147472,53
Beaulo,147377,27
GRONKH,145144,169
Faker,144691,10
Quin69,144403,11
IlloJuan,143470,32
Ponce,141350,53
stylishnoob4,141085,156
TFBlade,140972,10
Jankos,139890,10
ELoTRiX,139031,169
Stray228,139004,13
Foolish__Gamers,138989,4
elxokas,137577,32
Trainwreckstv,136965,11
LyonWGFLive,136351,155
Alexby11,136013,32
mrstiventc,135721,32
PapoMC,134959,32
ESL_CSGOb,133694,13
MuTeX,133636,0
x2Twins,133267,0
Nmplol,133142,11
FlowPodcast,132724,1
DanTDM,132693,4
Maximilian_DOOD,131887,11
s1mple,131501,13
RiceGum,130678,0
Scarra,129316,29
lestream,128611,53
knekro,128370,32
5uppp,127697,29
LuluLuvely,127512,9
KingGeorge,127466,27
jean_mago,125850,1
Pestily,125820,11
nerdstgamers,125777,9
Llobeti4,123002,32
deercheerup,122887,1
Punz,122396,4
WARDELL,122024,9
fuslie,121305,29
TheStockGuy,120831,11
its_iron,120703,0
Sardoche,119911,53
sinatraa,118934,9
Kaydop,118037,53
Peereira7,117658,32
Locklear,117446,53
LEGOO,117168,143
coscu,116693,32
Flight23white,116320,0
IamCristinini,115683,32
tmxk319,115613,15
loud_thurzin,115288,1
FolagorLives,115117,32
imls,115014,10
Tumblurr,114783,155
Rainbow6,114073,27
EASPORTSFIFA,114046,138
RATIRL,113684,10
hanryang1125,112893,15
NoWay4u_Sir,112477,169
SilverName,111550,13
jukes,111417,1
Letshe,110633,0
awesamdude,109517,4
pqueen,108628,143
39daph,108625,29
TeeGrizzley,108482,0
csgomc_ru2,108178,13
Fundy,107572,4
sujagg,107215,32
handongsuk,106766,15
GothamChess,106398,107
LeBouseuh,106371,53
Gorgc,106136,13
Vicens,105996,32
Warframe,105169,11
NiKo,104934,13
unsympathisch_tv,104235,169
PUBG,103758,13
nl_Kripp,103374,10
SHADOWFRAX,102951,8
Dhalucard,102918,169
Cellbit,102448,1
Brawlhalla,101338,53
MissaSinfonia,100903,32
Natsumiii,99504,29
sneakylol,99487,10
LVPes,99392,32
Baiano,98685,1
dafran,98199,9
blanchitooo,98017,32
Recrent,97951,13
NASA,96680,11
Mandzio,96570,13
ZeratoR,94699,53
JaggerPrincesa,93370,32
saddummy,92320,15
peterparkTV,91762,29
mistermv,90709,53
DropsByPonk,90688,4
MarkiLokurasY,90383,32
Werlyb,89945,32
AntoineDanielLive,89614,53
ESL_DOTA2,89584,13
blxckoutz,89331,1
LPL,89253,10
dopa24,89008,15
scump,88973,0
Perxitaa,88798,32
dasMEHDI,88661,11
pgod,87900,32
roflgator,87855,11
Pimpeano,87844,32
Kitboga,87565,11
CriticalRole,86739,11
alexelcapo,86653,32
casimito,86203,1
TinaKitten,86039,29
Mois_Kid,85617,169
Hype,85211,143
loud_babi,85106,1
QuarterJade,84505,29
FaZeBlaze,84470,0
POW3Rtv,84457,155
TheRealKnossi,84334,169
Homyatol,83668,155
sapnapalt,83664,4
JLTomy,83421,53
chowh1,83131,53
JustaMinx,82697,4
Pieface23,82645,138
ElmiilloR,82093,32
xChocoBars,82023,29
AdmiralBahroo,81710,11
aircool,81656,0
scoped,81154,0
WankilStudio,80923,53
lol_woolf,80848,15
aroyitt,80724,32
XANTAREScN,80245,143
Etoiles,80203,53
EWROON,80197,13
aba4647,77885,15
gllobet25,77284,32
MarkitoNavaja,76990,32
ElcanaldeJoaco,76853,32
kkatamina,76691,29
biyin_,76679,32
fer,76659,1
k3soju,75917,10
FPSThailand,75769,235
miniminter,75608,138
Pengu,75567,27
W2S,75350,138
RevedTV,75132,169
CBLOL,75103,1
Moonryde,74359,155
Indiefoxx,74058,11
MacieJay,73975,27
yourragegaming,73168,0
paka9999,72665,15
BeyondTheSummit,72612,13
ReventXz,72574,32
SkyrrozTV,72205,53
Enviosity,72192,29
samueletienne,71988,53
PietSmiet,71892,169
goncho,71731,32
SPYGEA,71658,156
VALORANT,71544,9
Amouranth,71461,11
Mithrain,71367,143
Renata_Giovanna,71049,1
ESL_SC2,70818,10
Thijs,70685,10
dogdog,70683,10
orslok,70460,32
mcflyetcarlito,70242,53
SmallAnt,69382,107
caps,68559,10
Otzdarva,68433,31
HealthyGamer_GG,68420,11
Elwind,68108,143
hannahxxrose,67996,4
zilioner,67919,15
Staryuuki,67778,32
midbeast,67590,10
Jerma985,67010,11
Subroza,66047,9
westonkoury,65997,4
INSCOPE21TV,65806,169
SteveSuptic,65746,29
MYM_ALKAPONE,65360,32
ScreaM,65302,9
TeePee,65146,0
bateson87,65114,138
VALORANT_Esports_TR,65094,143
relaxing234,64550,132
Brunenger,64468,32
gafallen,64377,1
Freneh,64153,155
bRaTiShKiNoFf,64050,13
ElSpreen,63610,32
AdmiralBulldog,63319,13
Nightblue3,63044,10
repazmois,63016,169
Markiplier,62954,4
anders_vejrgang,62867,138
SolaryFortnite,62853,53
Syndicate,62681,0
PAGO3,62434,13
Anna_Chess,62345,107
AnthonyZ,62305,11
Xari,62199,53
koil,61829,11
PaymoneyWubby,61288,11
rewinside,61243,169
ybicanoooobov,61210,13
PGL_Dota2,60303,13
JoeWo,60302,0
Im_Dontai,60120,0
MenosTrece,59969,32
dinablin,59514,13
xTheSolutionTV,59430,169
Dmitry_Lixxx,59389,13
ChristianVieriOfficial,59047,155
quackitytoo,58961,4
Shaunz,58636,53
Joueur_du_Grenier,58555,53
AussieAntics,58550,0
Tectone,57947,29
DeuceAce,57874,169
jdm2088,57424,15
noahreyli,57141,0
ricoy23,57131,32
Grossie_Gore,57091,10
Loeya,57060,0
2chamcham2,56926,15
Daxak,56703,13
JrokezFTW,56630,143
Ramee,56462,11
SummonersInnLive,56173,169
AriaSaki,55924,29
Co1azo,55546,0
sleepy,55385,9
MrSavage,54849,0
liminhag0d,54791,1
sips_,54635,11
melharucos,54633,13
Loserfruit,54532,0
cyr,54291,11
DuendePablo,54198,32
MiltonTPike1,54142,11
NiceWigg,53932,9
Eret,53793,4
Solary,53639,53
karavay46,53360,13
masondota2,53191,13
esl_csgo_pl,53184,13
SmiteGame,53177,11
woowakgood,53153,15
NymN,53050,11
okyyy,53032,32
RatedEpicz,53025,11
limit_maximum,52992,11
bt0tv,52985,1
RduLIVE,52796,10
Masayoshi,52747,29
nokduro,52406,15
Unboxholics,52144,169
jacksepticeye,52014,29
supertf,51880,9
tarzaned,51712,10
boltz,51629,1
maiconkusterkay,51565,1
modestal,51391,13
Mixwell,51202,9
yd0821,51152,15
Kyle,51053,11
hoshizora7,51053,8
Alderiate,51012,53
watchcartoonnetwork4free,50905,4
Japczan,50834,10
VALORANT_BR,50833,1
JohnnyBoi_i,50692,53
Vinesauce,50687,11
